Operator,Working set,Memory use
MobilenetV2/Conv/Relu6,2 183,1857612
MobilenetV2/expanded_conv/depthwise/Relu6,2 4,2130048
MobilenetV2/expanded_conv/project/BatchNorm/FusedBatchNorm,4 7,1597536
MobilenetV2/expanded_conv_1/expand/Relu6,7 14,3727584
MobilenetV2/expanded_conv_1/depthwise/Relu6,10 14,4006272
MobilenetV2/expanded_conv_1/project/BatchNorm/FusedBatchNorm,10 16,1014000
MobilenetV2/expanded_conv_2/expand/Relu6,16 91,1419600
MobilenetV2/expanded_conv_2/depthwise/Relu6,16 87 91,2636400
MobilenetV2/expanded_conv_2/project/BatchNorm/FusedBatchNorm,16 87 93,1622400
MobilenetV2/expanded_conv_2/add,16 86 93,608400
MobilenetV2/expanded_conv_3/expand/Relu6,86 100,1419600
MobilenetV2/expanded_conv_3/depthwise/Relu6,96 100,1530432
MobilenetV2/expanded_conv_3/project/BatchNorm/FusedBatchNorm,96 102,383328
MobilenetV2/expanded_conv_4/expand/Relu6,102 110,487872
MobilenetV2/expanded_conv_4/depthwise/Relu6,102 106 110,906048
MobilenetV2/expanded_conv_4/project/BatchNorm/FusedBatchNorm,102 106 112,557568
MobilenetV2/expanded_conv_4/add,102 105 112,209088
MobilenetV2/expanded_conv_5/expand/Relu6,105 120,487872
MobilenetV2/expanded_conv_5/depthwise/Relu6,105 116 120,906048
MobilenetV2/expanded_conv_5/project/BatchNorm/FusedBatchNorm,105 116 122,557568
MobilenetV2/expanded_conv_5/add,105 115 122,209088
MobilenetV2/expanded_conv_6/expand/Relu6,115 129,487872
MobilenetV2/expanded_conv_6/depthwise/Relu6,125 129,836352
MobilenetV2/expanded_conv_6/project/BatchNorm/FusedBatchNorm,131 125,557568
MobilenetV2/expanded_conv_7/expand/Relu6,131 139,975744
MobilenetV2/expanded_conv_7/depthwise/Relu6,131 135 139,1812096
MobilenetV2/expanded_conv_7/project/BatchNorm/FusedBatchNorm,131 135 141,1115136
MobilenetV2/expanded_conv_7/add,131 134 141,418176
MobilenetV2/expanded_conv_8/expand/Relu6,134 149,975744
MobilenetV2/expanded_conv_8/depthwise/Relu6,134 145 149,1812096
MobilenetV2/expanded_conv_8/project/BatchNorm/FusedBatchNorm,134 145 151,1115136
MobilenetV2/expanded_conv_8/add,134 144 151,418176
MobilenetV2/expanded_conv_9/expand/Relu6,144 159,975744
MobilenetV2/expanded_conv_9/depthwise/Relu6,144 155 159,1812096
MobilenetV2/expanded_conv_9/project/BatchNorm/FusedBatchNorm,144 155 161,1115136
MobilenetV2/expanded_conv_9/add,144 154 161,418176
MobilenetV2/expanded_conv_10/expand/Relu6,23 154,975744
MobilenetV2/expanded_conv_10/depthwise/Relu6,19 23,1672704
MobilenetV2/expanded_conv_10/project/BatchNorm/FusedBatchNorm,19 25,1045440
MobilenetV2/expanded_conv_11/expand/Relu6,25 33,1463616
MobilenetV2/expanded_conv_11/depthwise/Relu6,25 29 33,2718144
MobilenetV2/expanded_conv_11/project/BatchNorm/FusedBatchNorm,25 29 35,1672704
MobilenetV2/expanded_conv_11/add,25 28 35,627264
MobilenetV2/expanded_conv_12/expand/Relu6,28 43,1463616
MobilenetV2/expanded_conv_12/depthwise/Relu6,28 39 43,2718144
MobilenetV2/expanded_conv_12/project/BatchNorm/FusedBatchNorm,28 39 45,1672704
MobilenetV2/expanded_conv_12/add,28 38 45,627264
MobilenetV2/expanded_conv_13/expand/Relu6,38 52,1463616
MobilenetV2/expanded_conv_13/depthwise/Relu6,48 52,2509056
MobilenetV2/expanded_conv_13/project/BatchNorm/FusedBatchNorm,48 54,1603008
MobilenetV2/expanded_conv_14/expand/Relu6,54 62,2439360
MobilenetV2/expanded_conv_14/depthwise/Relu6,54 58 62,4530240
MobilenetV2/expanded_conv_14/project/BatchNorm/FusedBatchNorm,54 58 64,2787840
MobilenetV2/expanded_conv_14/add,54 57 64,1045440
MobilenetV2/expanded_conv_15/expand/Relu6,57 72,2439360
MobilenetV2/expanded_conv_15/depthwise/Relu6,57 68 72,4530240
MobilenetV2/expanded_conv_15/project/BatchNorm/FusedBatchNorm,57 68 74,2787840
MobilenetV2/expanded_conv_15/add,57 67 74,1045440
MobilenetV2/expanded_conv_16/expand/Relu6,67 81,2439360
MobilenetV2/expanded_conv_16/depthwise/Relu6,77 81,4181760
MobilenetV2/expanded_conv_16/project/BatchNorm/FusedBatchNorm,77 83,2787840
AvgPool2D/AvgPool,0 83,697600
image_pooling/Relu,0 177 83,698624
ResizeBilinear_1,164 177 83,1813120
aspp0/Relu,164 170 83,2927232
concat,164 170 172,4460544
concat_projection/Relu,172 174,3345408
logits/semantic/BiasAdd,174 179,1206612
ResizeBilinear_2,179 166,182952
ResizeBilinear_3,168 166,5639592
