Id,Name,Shape,Size,FixedTo
0,AvgPool2D/AvgPool,1 1 1 160,640,83
2,MobilenetV2/Conv/Relu6,1 129 129 16,1065024,
4,MobilenetV2/expanded_conv/depthwise/Relu6,1 129 129 16,1065024,
7,MobilenetV2/expanded_conv/project/BatchNorm/FusedBatchNorm,1 129 129 8,532512,
10,MobilenetV2/expanded_conv_1/depthwise/Relu6,1 65 65 48,811200,
14,MobilenetV2/expanded_conv_1/expand/Relu6,1 129 129 48,3195072,
16,MobilenetV2/expanded_conv_1/project/BatchNorm/FusedBatchNorm,1 65 65 12,202800,93
19,MobilenetV2/expanded_conv_10/depthwise/Relu6,1 33 33 192,836352,
23,MobilenetV2/expanded_conv_10/expand/Relu6,1 33 33 192,836352,
25,MobilenetV2/expanded_conv_10/project/BatchNorm/FusedBatchNorm,1 33 33 48,209088,35
28,MobilenetV2/expanded_conv_11/add,1 33 33 48,209088,45
29,MobilenetV2/expanded_conv_11/depthwise/Relu6,1 33 33 288,1254528,
33,MobilenetV2/expanded_conv_11/expand/Relu6,1 33 33 288,1254528,
35,MobilenetV2/expanded_conv_11/project/BatchNorm/FusedBatchNorm,1 33 33 48,209088,
38,MobilenetV2/expanded_conv_12/add,1 33 33 48,209088,45
39,MobilenetV2/expanded_conv_12/depthwise/Relu6,1 33 33 288,1254528,
43,MobilenetV2/expanded_conv_12/expand/Relu6,1 33 33 288,1254528,
45,MobilenetV2/expanded_conv_12/project/BatchNorm/FusedBatchNorm,1 33 33 48,209088,
48,MobilenetV2/expanded_conv_13/depthwise/Relu6,1 33 33 288,1254528,
52,MobilenetV2/expanded_conv_13/expand/Relu6,1 33 33 288,1254528,
54,MobilenetV2/expanded_conv_13/project/BatchNorm/FusedBatchNorm,1 33 33 80,348480,64
57,MobilenetV2/expanded_conv_14/add,1 33 33 80,348480,74
58,MobilenetV2/expanded_conv_14/depthwise/Relu6,1 33 33 480,2090880,
62,MobilenetV2/expanded_conv_14/expand/Relu6,1 33 33 480,2090880,
64,MobilenetV2/expanded_conv_14/project/BatchNorm/FusedBatchNorm,1 33 33 80,348480,
67,MobilenetV2/expanded_conv_15/add,1 33 33 80,348480,74
68,MobilenetV2/expanded_conv_15/depthwise/Relu6,1 33 33 480,2090880,
72,MobilenetV2/expanded_conv_15/expand/Relu6,1 33 33 480,2090880,
74,MobilenetV2/expanded_conv_15/project/BatchNorm/FusedBatchNorm,1 33 33 80,348480,
77,MobilenetV2/expanded_conv_16/depthwise/Relu6,1 33 33 480,2090880,
81,MobilenetV2/expanded_conv_16/expand/Relu6,1 33 33 480,2090880,
83,MobilenetV2/expanded_conv_16/project/BatchNorm/FusedBatchNorm,1 33 33 160,696960,
86,MobilenetV2/expanded_conv_2/add,1 65 65 12,202800,93
87,MobilenetV2/expanded_conv_2/depthwise/Relu6,1 65 65 72,1216800,
91,MobilenetV2/expanded_conv_2/expand/Relu6,1 65 65 72,1216800,
93,MobilenetV2/expanded_conv_2/project/BatchNorm/FusedBatchNorm,1 65 65 12,202800,
96,MobilenetV2/expanded_conv_3/depthwise/Relu6,1 33 33 72,313632,
100,MobilenetV2/expanded_conv_3/expand/Relu6,1 65 65 72,1216800,
102,MobilenetV2/expanded_conv_3/project/BatchNorm/FusedBatchNorm,1 33 33 16,69696,112
105,MobilenetV2/expanded_conv_4/add,1 33 33 16,69696,122
106,MobilenetV2/expanded_conv_4/depthwise/Relu6,1 33 33 96,418176,
110,MobilenetV2/expanded_conv_4/expand/Relu6,1 33 33 96,418176,
112,MobilenetV2/expanded_conv_4/project/BatchNorm/FusedBatchNorm,1 33 33 16,69696,
115,MobilenetV2/expanded_conv_5/add,1 33 33 16,69696,122
116,MobilenetV2/expanded_conv_5/depthwise/Relu6,1 33 33 96,418176,
120,MobilenetV2/expanded_conv_5/expand/Relu6,1 33 33 96,418176,
122,MobilenetV2/expanded_conv_5/project/BatchNorm/FusedBatchNorm,1 33 33 16,69696,
125,MobilenetV2/expanded_conv_6/depthwise/Relu6,1 33 33 96,418176,
129,MobilenetV2/expanded_conv_6/expand/Relu6,1 33 33 96,418176,
131,MobilenetV2/expanded_conv_6/project/BatchNorm/FusedBatchNorm,1 33 33 32,139392,141
134,MobilenetV2/expanded_conv_7/add,1 33 33 32,139392,151
135,MobilenetV2/expanded_conv_7/depthwise/Relu6,1 33 33 192,836352,
139,MobilenetV2/expanded_conv_7/expand/Relu6,1 33 33 192,836352,
141,MobilenetV2/expanded_conv_7/project/BatchNorm/FusedBatchNorm,1 33 33 32,139392,
144,MobilenetV2/expanded_conv_8/add,1 33 33 32,139392,161
145,MobilenetV2/expanded_conv_8/depthwise/Relu6,1 33 33 192,836352,
149,MobilenetV2/expanded_conv_8/expand/Relu6,1 33 33 192,836352,
151,MobilenetV2/expanded_conv_8/project/BatchNorm/FusedBatchNorm,1 33 33 32,139392,
154,MobilenetV2/expanded_conv_9/add,1 33 33 32,139392,161
155,MobilenetV2/expanded_conv_9/depthwise/Relu6,1 33 33 192,836352,
159,MobilenetV2/expanded_conv_9/expand/Relu6,1 33 33 192,836352,
161,MobilenetV2/expanded_conv_9/project/BatchNorm/FusedBatchNorm,1 33 33 32,139392,
164,ResizeBilinear_1,1 33 33 256,1115136,177
166,ResizeBilinear_2,1 33 33 21,91476,179
168,ResizeBilinear_3,1 257 257 21,5548116,166
170,aspp0/Relu,1 33 33 256,1115136,
172,concat,1 33 33 512,2230272,164 170
174,concat_projection/Relu,1 33 33 256,1115136,
177,image_pooling/Relu,1 1 1 256,1024,
179,logits/semantic/BiasAdd,1 33 33 21,91476,
183,sub_7,1 257 257 3,792588,
